question,answer,topic
"What documents are required?","ID proof, insurance card, and medical reports.","Inpatient Admission & Surgery"
"How are room charges calculated?","Based on room type and duration of stay.","Inpatient Admission & Surgery"
"What room categories are available?","General ward, semi-private, private, deluxe, and suite rooms.","Inpatient Admission & Surgery"
"Can I choose my room type?","Yes, subject to availability.","Inpatient Admission & Surgery"
"What is included in room charges?","Nursing care, basic amenities, and routine services.","Inpatient Admission & Surgery"
"How do I prepare for surgery?","Follow doctor instructions, fasting guidelines, and pre-operative tests.","Inpatient Admission & Surgery"
"Can I meet the anesthesiologist before surgery?","Yes, pre-anesthesia evaluation is mandatory.","Inpatient Admission & Surgery"
"How long is hospital stay after surgery?","Duration depends on the procedure and recovery.","Inpatient Admission & Surgery"
"Can attendants stay with the patient?","Yes, usually one attendant is allowed.","Inpatient Admission & Surgery"
"Does Apollo offer teleconsultation?","Yes, video and phone consultations are available.","Online Services & Telehealth"
"How do I book teleconsultation?","Through the app or website.","Online Services & Telehealth"
"What equipment do I need?","A smartphone or computer with internet and a camera.","Online Services & Telehealth"
"Can I upload reports before the appointment?","Yes, the app allows report uploads.","Online Services & Telehealth"
"Can doctors prescribe medicines online?","Yes, digital prescriptions are provided.","Online Services & Telehealth"
"Are teleconsultations covered by insurance?","Depends on your policy.","Online Services & Telehealth"
"How do I access the Apollo 24/7 app?","Download from the Play Store or App Store.","Online Services & Telehealth"
"Can I chat with medical support?","Yes, chat support is available in the app.","Online Services & Telehealth"
"Can I track prescriptions online?","Yes, your medication history is stored digitally.","Online Services & Telehealth"
"What if my video call disconnects?","You can reconnect or reschedule through support.","Online Services & Telehealth"
"How do I book a lab test?","Tests can be booked through the app, website, or reception.","Diagnostics (Lab & Imaging)"
"Do I need a prescription?","Yes, for most tests.","Diagnostics (Lab & Imaging)"
"When are blood test results available?","Usually within a few hours, depending on the test.","Diagnostics (Lab & Imaging)"
"What fasting is required?","Typically 8–12 hours for fasting tests; follow doctor instructions.","Diagnostics (Lab & Imaging)"
"Is home sample collection available?","Yes, through the app or call center.","Diagnostics (Lab & Imaging)"
"What imaging services are available?","MRI, CT scan, ultrasound, X-ray, mammography, and more.","Diagnostics (Lab & Imaging)"
"Is contrast imaging safe?","Generally safe; the radiologist will evaluate your suitability.","Diagnostics (Lab & Imaging)"
"What are diagnostic charges?","Charges vary by test and branch.","Diagnostics (Lab & Imaging)"
"Can I access reports online?","Yes, all reports are uploaded digitally.","Diagnostics (Lab & Imaging)"
"Are diagnostic centers open on weekends?","Yes, most operate on weekends with limited hours.","Diagnostics (Lab & Imaging)"
"Does Apollo have an in-house pharmacy?","Yes, most branches have a 24/7 pharmacy.","Pharmacy & Medications"
"Can I order medicines online?","Yes, via the Apollo 24/7 app.","Pharmacy & Medications"
"How fast is medicine delivery?","Delivery times vary by location.","Pharmacy & Medications"
"Is prescription required online?","Yes, for prescription medicines.","Pharmacy & Medications"
"Does Apollo provide generic medicines?","Yes, generics are available when appropriate.","Pharmacy & Medications"
"How do I track my order?","You can track through the app.","Pharmacy & Medications"
"Are refunds allowed?","Refunds depend on pharmacy policies and product type.","Pharmacy & Medications"
"Can I get medication reminders?","Yes, the app supports reminders.","Pharmacy & Medications"
"Can I consult a pharmacist online?","Yes, pharmacist support is available in the app.","Pharmacy & Medications"
"Is the pharmacy 24/7?","Many branches operate round the clock.","Pharmacy & Medications"
"What services are available for international patients?","Dedicated coordinators, airport pickup, translation, and treatment planning.","International Patients"
"Can Apollo provide a visa invitation letter?","Yes, upon confirming treatment plans.","International Patients"
"Is airport pickup available?","Yes, for select branches.","International Patients"
"How can I estimate my treatment cost?","By sharing your reports with the international patient team.","International Patients"
"Are language interpreters available?","Yes, for major international languages.","International Patients"
"Are international insurance plans accepted?","Accepted selectively; check with the international desk.","International Patients"
"How do I book a treatment package?","Through the hospital's international patient services team.","International Patients"
"Can I stay for follow-up care?","Yes, depending on visa duration.","International Patients"
"How will I receive my post-treatment records?","Reports can be provided digitally or physically.","International Patients"
"Who can I contact for international patient support?","The dedicated international helpdesk via email, phone, or website.","International Patients"
Tell me about Apollo Hospital,Apollo Hospitals is a multispecialty healthcare provider offering consultations diagnostics surgeries and emergency care,general
Whats the story with this hospital,Apollo Hospitals was established to deliver quality healthcare using modern medical technology,general
What kind of medical stuff do you do,Apollo provides services across cardiology neurology orthopedics oncology pediatrics and more,general
When do you guys open,Emergency services operate twenty four seven while clinics follow scheduled hours,general
Are you open on Sundays,Yes emergency services are available on Sundays,general
What are the timings for the clinic,Clinic timings depend on doctor availability and department schedules,general
How do I talk to a human,You can speak to staff at the hospital help desk or customer support,general
Is there a support number,Yes Apollo provides a customer support helpline,general
Where is the nearest Apollo,Nearest Apollo Hospital can be found using the official app or website,general
Can I visit my friend in the ward,Yes visits are allowed during assigned visiting hours,general
What are the rules for visitors,Visitor rules depend on hospital policy and ward type,general
Do you have a chemist inside,Yes Apollo hospitals usually have an inhouse pharmacy,general
Is there a lab in the hospital,Yes diagnostic lab services are available,general
Where can I get a blood test done,Blood tests can be done at the Apollo diagnostic lab,general
How do I give feedback,Feedback can be shared through the app website or help desk,general
I need a doctor,You can book a doctor appointment using the app website or hospital counter,appointment
Can I see a specialist today,Same day specialist visits depend on availability,appointment
I want to fix an appointment,Appointments can be booked online or at the hospital,appointment
Is online booking available,Yes online appointment booking is supported,appointment
Can I use the app to book,Yes appointments can be booked using the Apollo app,appointment
I need to change my appointment time,Appointments can be rescheduled through the app or help desk,appointment
Cancel my booking for tomorrow,You can cancel appointments using official booking channels,appointment
Check my booking status,Booking status can be checked in the app or confirmation message,appointment
Will I get a text after I book,Yes booking confirmation is usually sent via message,appointment
What should I bring for my checkup,Please bring valid ID and previous medical records,appointment
Should I bring my old files,Yes previous reports help doctors understand your history,appointment
How early should I come,Arriving fifteen minutes early is recommended,appointment
Can I pick my own doctor,Yes doctor selection is available during booking,appointment
Can I do a video call with a doctor,Yes video consultations are available,appointment
Is remote consultation possible,Yes teleconsultation services are supported,appointment
Do you take insurance,Yes Apollo Hospitals accepts many insurance providers,billing
Is my health policy valid here,Insurance acceptance depends on your policy,billing
Can I get cashless treatment,Cashless treatment is available for eligible insurance,billing
Process for insurance approval,Insurance approval requires document verification,billing
I need a breakdown of my bill,Itemized bills are available from billing department,billing
Can I pay with a credit card,Yes card payments are accepted,billing
Do you accept UPI or Google Pay,Yes digital payments are accepted,billing
Is cash okay,Yes cash payments are accepted,billing
Can I get a refund on my consultation fee,Refunds depend on cancellation policy,billing
I lost my bill can I get another copy,Duplicate bills can be requested,billing
Where are my test results,Reports can be viewed in the Apollo app or collected at hospital,records
Can I see my reports on my phone,Yes digital reports are available in the app,records
How many days for the biopsy report,Biopsy reports usually take a few working days,records
When will my blood work be ready,Most blood reports are ready within one to two days,records
I need my prescription online,Digital prescriptions are available in the app,records
Change my phone number in your records,Personal details can be updated via help desk,records
Is my data private,Yes patient data is protected under privacy policies,records
Can my brother pick up my reports,Authorized persons can collect reports with ID,records
I want a second opinion from another doctor,You can consult another specialist at Apollo,records
I have an emergency,Please visit the nearest Apollo emergency room immediately,emergency
Someone is having a heart attack,Call emergency services or rush to Apollo ER,emergency
I need an ambulance right now,You can request an ambulance through Apollo services,emergency
What is the ambulance number,Ambulance contact details are available online,emergency
Is the emergency room open,Yes emergency services operate twenty four seven,emergency
Is ICU available,ICU availability depends on real time capacity,emergency
Can I stay with my dad in the ICU,ICU visiting is restricted for safety,emergency
How much does an ambulance cost,Charges depend on distance and service type,emergency
Do you have a trauma center,Yes trauma care facilities are available,emergency
Where is Apollo Hospital in Chennai,Apollo Hospital is located in Greams Road Chennai,location
Is there an Apollo Hospital in Delhi,Apollo Hospital is present in Sarita Vihar New Delhi,location
Do you have Apollo Hospital in Hyderabad,Apollo Hospital is available in Jubilee Hills Hyderabad,location
Where is Apollo Hospital in Bengaluru,Apollo Hospital is located in Bannerghatta Road Bengaluru,location
Is Apollo Hospital available in Kolkata,Apollo Hospital operates in Salt Lake Kolkata,location
Where is Apollo Hospital in Mumbai,Apollo Hospital is located in Navi Mumbai,location
Is there an Apollo Hospital in Ahmedabad,Apollo Hospital is present in Gandhinagar Ahmedabad,location
Do you have Apollo Hospital in Pune,Apollo Hospital is available in Pune city area,location
Where is Apollo Hospital in Chennai OMR,Apollo Hospital is present on Old Mahabalipuram Road Chennai,location
Is Apollo Hospital available in Madurai,Apollo Hospital operates in Madurai Tamil Nadu,location
Where is Apollo Hospital in Trichy,Apollo Hospital is located in Tiruchirappalli Tamil Nadu,location
Is there an Apollo Hospital in Vizag,Apollo Hospital is present in Visakhapatnam Andhra Pradesh,location
Do you have Apollo Hospital in Bhubaneswar,Apollo Hospital operates in Bhubaneswar Odisha,location
Where is Apollo Hospital in Indore,Apollo Hospital is located in Indore Madhya Pradesh,location
Is Apollo Hospital available in Lucknow,Apollo Hospital operates in Lucknow Uttar Pradesh,location
Where is Apollo Hospital in Noida,Apollo Hospital is located in Noida Uttar Pradesh,location
Is there an Apollo Hospital in Guwahati,Apollo Hospital operates in Guwahati Assam,location
Do you have Apollo Hospital in Ranchi,Apollo Hospital is available in Ranchi Jharkhand,location
Where is Apollo Hospital in Karaikudi,Apollo Hospital is located in Karaikudi Tamil Nadu,location
Is Apollo Hospital present in Nellore,Apollo Hospital operates in Nellore Andhra Pradesh,location
Where is Apollo Hospital located,Apollo Hospital is located in multiple cities across India including metro and major regional locations,location
Where is Apollo Hospital located,Apollo Hospital is located across India in cities such as Chennai Delhi Hyderabad Bengaluru Kolkata Mumbai Ahmedabad Pune Madurai Trichy Vizag Bhubaneswar Indore Lucknow Noida Guwahati Ranchi Karaikudi and Nellore,location
